Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
72.3338623046875,72.39407027941263,71.09116882440814,71.34403937841115,135480400
71.6306381225586,72.38925722098051,71.40666619485818,71.56320547713457,146322800
72.2013931274414,72.23992710936326,70.50353134989086,70.7539985575802,118387200
71.8618392944336,72.4663224088167,71.64268136784916,72.211041164577,108872000
73.01783752441406,73.31887745373415,71.56562119935828,71.56562119935828,132079200
74.56879425048828,74.76145686133366,73.74274246581768,73.99320238999518,170108400
74.73739624023438,75.30094962494485,74.236468881126,74.80242558826012,140644800
76.33407592773438,76.36057125816924,74.9348431957367,75.05285582286368,121532000
75.3033218383789,76.48099343710987,75.18050255877637,76.27147084582813,161954400
74.98062133789062,75.98248317068368,74.54953007278792,75.10344798902688,121923600
75.91986846923828,76.03065646802948,75.16124922768141,75.52249718552835,108829200
76.76036834716797,76.76277166888072,75.86206254796348,76.16791647174253,137816400
76.24015808105469,76.83019183971173,76.1028821310267,76.38947268651397,110843200
76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400
76.88080596923828,76.96027729950708,76.01862324900956,76.56531662094284,104472000
76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600
74.40503692626953,75.08417746726008,73.42484908589569,74.67235687385795,161940000
76.50991821289062,76.68090687398296,75.18534222076916,75.28408422213496,162234000
78.11141967773438,78.95674202148273,77.39855929233421,78.13791500924663,216229200
77.99822998046875,78.05121329496869,76.76517176985938,77.19626294921763,126743200
74.5399169921875,77.71167041513803,74.24610164905711,77.29021440201876,199588400
74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400
76.78926849365234,76.97952779146334,75.53212542449515,75.93672133535755,136616400
77.41542053222656,78.21257356762338,76.81334075627086,77.91393700101683,118826800
78.32096099853516,78.32337167005116,77.12884718583062,77.6851684350144,105425600
77.25634765625,78.06987612347613,76.76629893571341,77.82123085871221,117684000
77.62330627441406,77.62330627441406,75.76450341427329,75.84416334192943,109348800
77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200
78.98722839355469,78.9920538114317,77.60398368209574,77.60398368209574,113730400
78.42475128173828,78.75064746940821,78.05782062596876,78.26059867524006,94747600
78.44407653808594,78.6927218682662,77.93712767417983,78.39337649475979,80113600
77.00769805908203,77.18875064072564,75.94793341167819,76.1289859933218,152531200
78.12301635742188,78.35235267875386,77.24913667748609,77.24913667748609,93984000
77.32154846191406,78.37165530100644,76.81701596336808,77.8840228178166,100566000
75.5713882446289,77.35778064143899,74.95581205860155,76.9160079617277,129554000
71.9817123413086,73.43013371315247,69.82115488187272,71.75962518984169,222195200
69.54352569580078,73.03180965186876,69.07279323243056,72.6503953158895,230673600
70.646728515625,71.90927139616765,69.16209855410392,69.16934036398257,198054800
66.0286865234375,69.04140503149553,65.89350114490772,67.85852928583456,320605600
65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000
72.13377380371094,72.76866613954134,67.04257525684778,68.14337454443714,341397200
69.84286499023438,73.3866667341741,68.99311992366323,73.30700681770827,319475600
73.08247375488281,73.24180090646557,70.76259027435336,71.561635057031,219178400
70.7119369506836,72.31243643111517,70.34741520260532,71.33958033890666,187572800
69.77284240722656,70.20495666747604,67.88989834828591,68.07577636210152,226176800
64.25436401367188,67.13188921300795,63.48911178224734,63.67016438238683,286744800
68.88206481933594,69.14761010810192,65.02685113261988,66.90256079781972,285290000
